Author,Title,Year,Themes
Jules Verne,Le Tour du Monde en Quatre-Vingts Jours,1872,"Contes, Fantastique, Techniques, Fiction historique, Épouvante, Romans, Critique, Décadence, Arts et Culture, Voyages"
Jules Verne,Vingt mille lieues sous les mers,1870,"Contes, Épouvante, Décadence, Romans, Voyages"
Jules Verne,De la terre à la lune,1865,"Décadence, Voyages"
Jules Verne,L'Île mystérieuse,1870,"Contes, Fiction historique, Critique, Décadence, Romans, Voyages"
Alphonse Daudet,Tartarin de Tarascon,1800,Décadence
Théophile Gautier,Mademoiselle de Maupin,1834,Décadence
Théophile Gautier,Capitaine Fracasse,1860,"Critique, Décadence, Fiction historique"
Théophile Gautier,Voyage en Espagne,1845,"Passion, Voyages"
Théophile Gautier,Nouvelles,1882,"Fantastique, Passion, Décadence"
Charles Baudelaire,Les fleurs du mal,1855,"Critique, Arts et Culture, Poésie, Biographie"
Charles Baudelaire,Essais,1890,"Critique d'art, Esthétique, Fiction historique, Critique, Décadence"
Charles Baudelaire,Curiosités esthétiques,1885,"Critique d'art, Esthétique, Fiction historique"
Edmond de Goncourt,Hokusai,1895,Esthétique
Edmond de Goncourt,Journal,1887,Mœurs
Edmond de Goncourt,La femme au dix-huitieme siecle,1862,"Mœurs, Fiction historique, Philosophie, Coutumes, Décadence, Société et politique"
Edmond de Goncourt,L' art du XVIIIe siècle,1873,"Fiction historique, Esthétique, Biographie"
Edmond de Goncourt,Histoire de la société française pendant le Directoire,1854,"Fiction historique, Coutumes"
Joris-Karl Huysmans,À rebours,1900,"Décadence, Éducation"
Joris-Karl Huysmans,L'art moderne,1883,"Critique d'art, Fiction historique"
Octave Mirbeau,Le jardin du mal,1899,Décadence
Octave Mirbeau,Le calvaire,1887,"Décadence, Esthétique"
Octave Mirbeau,Abbe Jules,1880,"Décadence, Religion"
Félicien Champsaur,Masques modernes,1889,"Drame, Critique d'art, Fiction historique, Critique, Passion"
Prosper Mérimée,Nouvelles,1874,Décadence
Paul Féval,Jesuits!,1879,"Religion, Fiction historique"
Eugène Sue,Juif errant,1844,"Arts et Culture, Décadence, Religion"
Eugène Sue,Les mystères de Paris,1844,"Décadence, Pouvoir"
Félicité de La Mennais,De la religion,1841,Religion
Charles Nodier,Bibliothèque sacrée grecque-latine,1826,Biographie
Charles Nodier,Mélanges tirés d'une petite bibliothèque,1829,Critique
Barbey d'Aurevilly,Les bas-bleus,1878,Critique
Barbey d'Aurevilly,Les philosophes et les écrivains religieux,1860,Critique
Barbey d'Aurevilly,Les poètes,1889,Critique
Paul de Kock,Oeuvres,1864,"Fiction historique, Voyages"
