Author,Title,Year,Themes
Voltaire,Lettres choisies,1802,"Correspondence, French Authors, Philosophers, Tronchin family, Translations into English, English literature, History and criticism, Civilization, Religious liberty, Relations with women, Écrivains français, Correspondance"
Jean-Jacques Rousseau,Du contrat social,1762,"Peace, The State, Science politique, Economics, Early works to 1800, Fiction, Social contract, Civilization, Ciencias políticas, Political science, Obras anteriores a 1800, Contrato social, Classic Literature, Contrat social, Rousseau, Jean Jacques, 1712-1778, Political sciene, Political science, early works to 1800, Philosophy, french, Political sociology, Liberty, Equality, Rousseau, jean-jacques, 1712-1778, Politics and Government, Literary essays, Political science & theory, USA United States of America, 08.24 newer western philosophy (17-19th century), 89.06 political philosophy, Filosofia, Political and social views, Ouvrages avant 1800, Philosophie politique, CIENCIAS POLITICAS, Du contrat social ou Principes du droit politique (Rousseau), Ciències polítiques, Contracte social, PHILOSOPHY, Political, Discours sur les sciences et les arts (Rousseau), Discours sur l'origine et les fondements de l'inégalité parmi les hommes (Rousseau), Individu en samenleving, Political science, philosophy, Ciencia política, Política, Filosofía, Sozialvertrag, Jc179 r86 1993, 320.11, Sociology"
Jean-Jacques Rousseau,Les confessions,1782,"French Authors, Biography, Correspondence, Critique et interprétation, Childhood and youth, Jacques, 1712-1778. Les confessions, Jean Rousseau, Rousseau, Jean Jacques, 1712-1778, Classic Literature, Fiction, Philosophers, Autobiography, Accessible book, Protected DAISY, In library, Authors, French, Enfance et jeunesse, [manuel], Manuel, Lehrmittel, Französischunterricht, Rousseau, Jean-Jacques, Les confessions 1,1-4, Rousseau, Jean-Jacques, 1712-1778, Authors, French -- 18th century -- Biography, Philosophy, french, Philosophy, History, Authors, biography, BIOGRAPHY & AUTOBIOGRAPHY / Literary, Fiction, general, Biographies, Literatură franceză, Biografie (Gen literar), Biography - general & miscellaneous, General & miscellaneous french history, Mapped literary criticism, Adventurers - general & miscellaneous - biography, Historical figures - fiction, Literary styles & movements - fiction, Philosophers - biography, Gener"
Jean-Jacques Rousseau,Emile or Education,1762,"Education, Early works to 1800, Education, early works to 1800, Collections, Philosophy, Classic Literature, Essays, Fiction, Nonfiction, Éducation, Ouvrages avant 1800, ÂEducation, Philosophy, french, Periodicals, History, Education--early works to 1800, Lb512 .e5 1979"
Jean-Jacques Rousseau,La nouvelle Héloïse,1761,"Critique et interprétation, Jean Rousseau, Rousseau, Jean Jacques, 1712-1778, Jacques, 1712-1778. Julie ou La Nouvelle Héloise, Fiction, general, Fiction, romance, general, Teachers, fiction"
Jean-Jacques Rousseau,Les rêveries du promeneur solitaire,1782,"Jean Rousseau, Dernières années, Jacques, 1712-1778. Les Rêveries du promeneur solitaire, Rousseau, Jean Jacques, 1712-1778, Critique et interprétation, Continental european fiction (fictional works by one author), Rousseau, jean-jacques, 1712-1778"
Denis Diderot,La religieuse,1758,"Fiction, Catholics, Convents, Nuns, Fiction, general, Nuns, fiction, Continental european fiction (fictional works by one author)"
Denis Diderot,Pensées philosophiques,1746,"Philosophy, Collected works, Recueils, Philosophie, Déisme, Ouvrages avant 1800, Religion, Athéisme, Fanatisme, Christianisme, Conscience (Morale), Ouvrages de controverse, Aveugles, Connaissance, Théorie de la, Sens et sensations, Dialectique, Bougainville, louis antoine de, comte, 1729-1811, Philosophy, french"
Denis Diderot,Religieuse,1797,"Fiction, Nuns, Catholics, Convents, Social life and customs, Nuns, fiction, Fiction, general, Continental european fiction (fictional works by one author), American fiction (fictional works by one author)"
Marivaux,Théâtre choisi,1800,"Translations into English, French drama, Théâtre en vers, Théâtre français, Continental european drama (dramatic works by one author), Romance literature"
Louis-Sébastien Mercier,An deux mille quatre cent quarante,1772,"Utopias, Fiction, Social life and customs, Future in literature, Humor, Early works to 1800, Future, The, in literature, Utopias in literature, Futur dans la littérature, Utopies dans la littérature, Utopian literature"
Louis-Sébastien Mercier,Le nouveau Paris,1798,"French Personal narratives, History, Influence, Personal narratives, French, Politics and government, Social life and customs, The revolution"
Louis-Sébastien Mercier,Du théâtre,1773,"Drama, French drama, Théâtre, Théâtre (Genre littéraire), History and criticism, Art dramatique"
Bernardin de Saint-Pierre,Paul et Virginie,1789,"Botany, Fiction, Mauritius in fiction, Readers, French language, Translations into Arabic, Arabic literature, French literature, Translations from French, Imprints, Classic Literature, Brothers and sisters, Biography, History, Fiction, general, Mauritius, fiction, French fiction, Translations into English"
Bernardin de Saint-Pierre,Paul and Virginia,1799,"Nature (Aesthetics), Juvenile fiction, Friendship, Animal welfare, Slavery, Charity, Description and travel"
Bernardin de Saint-Pierre,Studies of nature,1796,"Nature, Natural history, Religious aspects of Nature, Christianity, Nature in literature"
Bernardin de Saint-Pierre,Etudes de la nature,1799,"Early works to 1800, Nature, Philosophy of nature, Translations into English, Christianity, French literature, Natural history, Religious aspects of Nature"
Bernardin de Saint-Pierre,Voyage à l'île de France,1775,"Early works to 1800, Description and travel, French, Travel, Journeys"
Choderlos de Laclos,Les Liaisons dangereuses,1782,"France, fiction, Fiction, general, Continental european fiction (fictional works by one author), Aristocracy (Social class), Fiction, Seduction, Classic Literature, Man-woman relationships, Social life and customs, Aristocracia (Clase social), Novela, Vida social y costumbres, Manners and customs, Romance literature, Literature, Fiction, historical, general, Laclos, choderlos de, 1741-1803, French fiction, translations into english, Fiction, erotica, general, Fiction, romance, general, General, Epistolary fiction, France -- Fiction, Aristocracy (Social class) -- Fiction, Seduction -- Fiction, Mock-heroic literature, Polish language materials, Powiesc epistolarna francuska, T?umaczenia polskie, Powieść epistolarna francuska, Tłumaczenia polskie"
Restif de la Bretonne,Le pornographe,1769,"Erotic literature, Legal status, laws, Prostitutes, Prostitution, Social aspects, Social aspects of Prostitution, Social conditions, Women"
Restif de la Bretonne,La vie de mom père,1884,"English fiction, French Translations, French fiction, Translations into English, Translations, French, French fiction, translations into english, Continental european fiction (fictional works by one author)"
Restif de la Bretonne,"Le pornographe, ou idées d'un honnête-homme sur un projet de règlement pour les prostituées, propre à prévenir les malheurs qu'occasionne le publicisme des femmes. Avec des notes historiques et justificatives",1770,"Prostitution, Hygiene, Erotic literature, Social conditions, Sex Work, Sexual health, Legal status, laws, Women"
Restif de la Bretonne,"Le pornographe, ou, Idées d'un honnête-homme sur un projet de règlement pour les prostituées, propre à prévenir les malheurs qu'occasionne le publicisme des femmes",1770,"Prostitution, Early works to 1800, Sexual health, Women, Legal status, laws, Social conditions, Erotic literature"
Restif de la Bretonne,"Les nuits de Paris, ou, Le spectateur-nocturne",1788,"Poor, Fiction, Social conditions, French fiction, French Historical fiction, History, Social life and customs, Manners and customs, Fiction, general"
Gabriel Sénac de Meilhan,Considérations sur les richesses et le luxe ..,1787,"Luxury, Wealth, French West Indies, History, Economic aspects, Finance"
Gabriel Sénac de Meilhan,Des principes et des causes de la révolution en France,1790,"History, Causes, Politics and government, Early works to 1800, Kings and rulers, War"
Abbé Prévost,Manon Lescaut,1787,"Fiction, History, France in fiction, French language, Louisiana in fiction, Classic Literature, Femmes fatales, French language materials, French fiction, Operas, Vocal scores with piano, Librettos, Manon Lescaut (Prévost, abbé), France, fiction, Louisiana, fiction, Fiction, general, Continental european fiction (fictional works by one author), Fiction, action & adventure, Fiction, romance, general"
Abbé Prévost,"Histoire générale des voyages ou Nouvelle collection de toutes les relations de voyages par mer et par terre, qui ont été publiées jusqu'à présent dans les différentes langues de toutes les nations connues",1746,"Voyages and travels, Voyages, Description and travel, Descriptions et voyages, Nord-Ouest, Passage du, Amérique, Dutch, Discoveries (in geography), Découvertes géographiques portugaises, Northeast Passage, Voyages and travel, Découverte et exploration, Nord-Est, Passage du, French, Compagnies de colonisation, Colonial companies, Sciences naturelles, Discovery and exploration, Northwest Passage, Découvertes géographiques françaises, English, Natural history, Nederlandsche Oost-Indische Compagnie, Découverte et exploration anglaises, Découverte et exploration françaises, Découvertes géographiques hollandaises, Découvertes géographiques anglaises, Découvertes géographiques, Discoveries in geography"
Abbé Prévost,"Histoire générale des voïages ou Nouvelle collection de toutes les relations de voïages par mer et par terre, qui ont été publiées jusqu'à présent dans les différentes langues de toutes les nations connues",1756,"Voyages, Voyages and travels, Découvertes géographiques, Discoveries (in geography), Discovery and exploration, Description and travel, Descriptions et voyages, Découverte et exploration, French, North-West Passage, North-East Passage, Découverte et exploration françaises, Discoveries in geography"
François Gayot de Pitaval,"Causes celebres et interessantes, avec les jugemens qui les ont decidées",1737,"Administration of Criminal justice, Early works to 1800, Criminals, Trials, Popular works, Crime"
François Gayot de Pitaval,Continuation des Causes célebres et intéressantes,1765,"Early works to 1800, Trials, Criminals, Crime, DERECHO PROCESAL, PROCESO (DERECHO)"
Jean-François Marmontel,Les Incas,1777,"Fiction, History, Incas, Ouvrages avant 1800, HISTORIA, NOVELA"
Pierre Choderlos de Laclos,Les Liaisons dangereuses,1782,"France, fiction, Fiction, general, Continental european fiction (fictional works by one author), Aristocracy (Social class), Fiction, Seduction, Classic Literature, Man-woman relationships, Social life and customs, Aristocracia (Clase social), Novela, Vida social y costumbres, Manners and customs, Romance literature, Literature, Fiction, historical, general, Laclos, choderlos de, 1741-1803, French fiction, translations into english, Fiction, erotica, general, Fiction, romance, general, General, Epistolary fiction, France -- Fiction, Aristocracy (Social class) -- Fiction, Seduction -- Fiction, Mock-heroic literature, Polish language materials, Powiesc epistolarna francuska, T?umaczenia polskie, Powieść epistolarna francuska, Tłumaczenia polskie"
Jean-Baptiste Louvet de Couvray,Accusation contre Maximilien Robespierre,1792,"Politics and government, Sources, Early works to 1800, Denunciation (Criminal law), Misconduct in office, History"
Jean-Baptiste Louvet de Couvray,"Quelques notices pour l'histoire, et le récit de mes périls depuis le 31 mai, 1793",1795,"Contemporary works, French Revolution, 1789-1792 (Assemblée Nationale), Girondists, History, Personal narratives"
Jean-Baptiste Louvet de Couvray,Accusation intentée dans la convention nationale contre Maximilien Robespierre,1792,"Trials, litigation, Trials (Political crimes and offenses), Sources, Early works to 1800, History, Political crimes and offenses"
Jean-Baptiste Louvet de Couvray,"A la Convention nationale, et a mes commettans, sur la conspiration du 10 mars et la faction d'Orle ans",1793,"Early works to 1800, Conspiracies, Political clubs, Montagnards, History, Societies"
Jean-Baptiste Louvet de Couvray,"A Maximilien Robespierre, et a ses royalistes",1794,"Politics and government, Sources, Early works to 1800, Jacobins, Denunciation (Criminal law), History"
Jean-Baptiste de Boyer d'Argens,"Lettres juives, ou, Correspondance philosophique, historique & critique",1738,"Early works to 1800, Social life and customs, Jews, Antisemitism, Puritans, French Philosophy, Political and social views"
Jean-Baptiste de Boyer d'Argens,"Lectures amusantes, ou, Les délassements de l'esprit",1739,"Spanish fiction, Translations into French, Early works to 1800, Fiction, History and criticism"
Honoré de Balzac,La père Goriot,1800,"Fiction, France in fiction, Older men in fiction, Older men, Fathers and daughters, Fathers and daughters in fiction, History, Social life and customs, Boardinghouses in fiction, Boardinghouses, French language, Readers, Boardinghouses -- France -- Paris -- Fiction, Continental european fiction (fictional works by one author), Paris (france), fiction, Fathers and daughters, fiction, Fiction, historical, Fiction, coming of age, Lectures et morceaux choisis, Manners and customs, Fiction, general, Balzac, honore de, 1799-1850, Fiction, historical, general, France, fiction, Classics, French language books, Literary, French literature, history and criticism, 18th century, Fathers and daughters -- Fiction, Paris (France) -- Fiction, French fiction -- Translations into English, Older men -- Fiction, France -- History -- Louis XVIII, 1814-1824 -- Fiction, Balzac, honoré de , 1799-1850, Pq2168 .a374 1998, 843/.7"
Honoré de Balzac,Eugénie Grandet,1868,"Social life and customs, Fiction, French literature, Translations from French, Aesthetics., Continental european fiction (fictional works by one author), France, fiction, Fiction, general"
Honoré de Balzac,Les contes drôlatiques,1855,"Social life and customs, France in fiction, Fiction, Translations into English, French Short stories, Short stories, Manners and customs, Protected DAISY, Romance literature, Continental european fiction (fictional works by one author), FICTION / Short Stories (single author), FICTION / Classics"
Honoré de Balzac,Illusions perdues,1837,"Social life and customs, Translations into Chinese, Fiction, Translations from French, Chinese fiction, Manuscripts, French fiction, Literature, French literature, Art, Sculpture, Aesthetics, Musicians, Composers, Russian Novelists, Biography, Artists, Continental european fiction (fictional works by one author), France, fiction, Fiction, general, Manners and customs, Fiction, historical, Fiction, historical, general, French language materials, Notebooks, sketchbooks, Facsimiles, French Manuscripts"
Honoré de Balzac,La Cousine Bette,1888,"Fiction, Social life and customs, Translations from French, Translations into Chinese, Chinese fiction, French fiction, Crime, Personality and emotions, History, Translations into English, Report writing, Rédaction, Rapports, Fiction, general, Continental european fiction (fictional works by one author), France, fiction, Paris (france), fiction, Fiction, historical, general, General, Manners and customs"
Victor Hugo,Notre-Dame de Paris,1831,"Man-woman relationships, Translations into English, Sko nlitteratur, Fiction, Translations from French, French fiction, Stuttering, History, People with disabilities, French literature, Continental european fiction (fictional works by one author), France, fiction, Paris (france), fiction, Quasimodo (fictitious character), fiction, Fiction, historical, Children's fiction, France, history, fiction, Paris (france), history, fiction, People with disabilities, fiction, Fiction, general, Piano music, Notre-Dame de Paris (Cathedral), Juvenile fiction, Children's stories, English, Physically handicapped, Disfigured persons, People with physical disabilities, Notre Dame Cathedral, Paris, France, Medicine, Fiction, historical, general, English fiction, General, French language, Readers, Fiction, romance, general, Romans, nouvelles, Histoire, Illustraties, Frans, Comics & graphic novels, general, Readers (Primary), Readers for new literates, Notre-Dame de Paris (Cathedral) -- Fiction, Man-woman relationships -- Fiction, Men with disabilities, Relations entre hommes et femmes -- Romans, nouvelles, etc, Hommes handicapés, France -- History -- Louis XI, 1461-1483 -- Fiction, France -- Histoire -- 1461-1483 (Louis XI) -- Romans, nouvelles, etc, France"
Victor Hugo,Les Misérables,1800,"Poor, Fiction, Readers, Fiction, historical, France, fiction, Ex-convicts, History, Historical fiction, Manners and customs in fiction, French fiction, Continental european fiction (fictional works by one author), Ex-convicts in fiction, Orphans in fiction, Orphans, Literature and fiction (general), Javert, inspector (fictitious character), fiction, Classic Literature, Fiction, political, Social conditions, Social life and customs, Juvenile fiction, Franse fiksie, Leesboeke, Franse taal, French language, Fiction, historical, general, France in fiction, Open Library Staff Picks, Stuttering, freedom, redemption, prison, bread, barricade, Los, Miserables, Francia, Accessible book, Protected DAISY, Paris (france), fiction, Politics and government, Graphic novels, Comic books, strips, Cartoons and comics, Misérables (Hugo, Victor), Fiction, general, Valjean, jean (fictitious character), fiction, Police, Vida social y costumbres, Presos, Policía, Ficción, Huérfanos, July Revolution (France : 1830) fast (OCoLC)fst01353472, Literature, FICTION / Classics, FICTION / Historical, Epic fiction, Manners and customs, Unterschicht, French language materials, French literature, Electronic books, Music, instruction and study, Javert (Fictitious character), Fiction, fantasy, epic, Suo xie, Chang pian xiao shuo, Children's fiction, Adventure and adventurers, fiction, Rescue work, fiction, Police, fiction, Romance literature, Ex-détenus, Romans, nouvelles, Mœurs et coutumes, Criminals, Translations into English, Prisoners"
Victor Hugo,Quatrevingt-treize,1800,"Fiction, History, Continental european fiction (fictional works by one author), Fiction, historical, general, France, history, revolution, 1789-1799, fiction, France, fiction, Fiction, general"
Victor Hugo,Hernani,1830,"Drama, Classic Literature, Fiction, Continental european drama (dramatic works by one author), Hernani (Fictitious character), French drama"
Victor Hugo,Ruy Blas,1838,"Textbooks for foreign speakers, French language, Readers, French drama, Classic Literature, Fiction"
Alexandre Dumas,Le Comte de Monte Cristo,1830,"France -- History -- 19th century -- Fiction, France, Fiction, France in fiction, History, Adventure and adventurers in fiction, Readers, French language, Adventure and adventurers, Translations into Yiddish, Pirates in fiction, Pirates, Adventure stories, Revenge in fiction, Revenge, False arrest, Social life and customs, Sailors, False arrest in fiction, Historical fiction, Sailors in fiction, Language study, French, Accessible book, Protected DAISY, Friendship, Betrayal, French literature, Translations into Tagalog, French literature, study and teaching, Classic, romance, suspense, drama, love, Children's fiction, Adventure and adventurers, fiction, France, history, 1799-1914, fiction, France, fiction, Fiction, action & adventure, Fiction, historical, general, French language materials, Historia, Venganza, Novela, Novela histórica, Juvenile fiction, Loyalty, Zhang pian xiao shuo, Fiction, historical, Continental european fiction (fictional works by one author), French fiction, Translations into Polish, Fiction, romance, historical, general, Translations into Chinese, Chinese fiction, Translations from French, Fiction, general, Judeo-Arabic literature, Action & Adventure - General, Historical - General, Juvenile Historical Fiction, Spanish: Grades 3-4, Literary Criticism & Collections / General, Tales, Escapes, Prisons, Prisoners"
Alexandre Dumas,Les Trois Mousquetaires,1844,"History, Fiction, Swordsmen, France in fiction, Accessible book, Protected DAISY, Vietnamese language books, Swordplay, Juvenile fiction, Adventure and adventurers, Spanish language materials, Romans, nouvelles, etc. pour la jeunesse, Histoire, Combat au sabre, Novela juvenil, Historia, Adventure fiction, Spanish language, Reading materials, Fiction, historical, France, fiction, Continental european fiction (fictional works by one author), Three musketeers (fictitious characters), fiction, Fiction, action & adventure, French language materials, Social conditions, Adventure stories, General, French fiction, Ying yu, Yu yan du wu, Chang pian xiao shuo, Romance literature, Fiction, historical, general, Children's fiction, Adventure and adventurers, fiction, Paris (france), fiction, Mongolian literature, Historical fiction, Abenteuerroman, Russian language materials, Classic Literature, OverDrive, New York Times reviewed, France, Comics & graphic novels, historical fiction, France -- History -- Louis XIII, 1610-1643 -- Fiction, Adventure and adventurers -- Fiction, Swordsmen -- Fiction, Épéistes, Fiction, general, France -- History -- Louis XIII, 1610-1643 -- Fiction., Fiction, romance, historical, general, Continental european drama (dramatic works by one author)"
Alexandre Dumas,Le roman du masque de fer,1600,"History, Fiction, Accessible book, Protected DAISY, Classic Literature, OverDrive, Juvenile fiction, Prisoners, Brothers, Twins, Adventure stories, Fiction, general, Literature and fiction, historical fiction, Fiction, action & adventure, France, fiction, Three musketeers (fictitious characters), fiction, Continental european fiction (fictional works by one author), Literature and fiction, action and adventure, Fiction, historical, general, Fiction, romance, historical, general, Twins, fiction, Brothers, fiction, Fiction, men's adventure, Children's fiction, Romance literature"
Alexandre Dumas,Vingt ans apres̀,1800,"Ficción, Fiction, France, Histoire, Historia, History, Roman, Romans, Swordsmen, Accessible book, Protected DAISY, In library, France, fiction, Three musketeers (fictitious characters), fiction, Continental european fiction (fictional works by one author), Fiction, action & adventure, French fiction, Classic Literature, OverDrive, Fiction, general"
Alexandre Dumas,La dame aux camélias [novel],1848,"Classic Literature, Fiction, OverDrive, Courtesans, Courtesans in fiction, German language, Théâtre du Gymnase-Armand Hammer, Patients, Tuberculosis, Accessible book, Protected DAISY, Ying yu, Han yu, Dui zhao du wu, Chang pian xiao shuo, Social life and customs, Suo xie ben, JUVENILE FICTION, Social classes, First loves, Manners and customs, General, Zhang pian xiao shuo, Drama, Romance literature, Fiction, general, Fiction, action & adventure, French literature, Translations into Armenian, French drama, Ladino literature, Spanish drama"
Gustave Flaubert,Madame Bovary,1857,"literary fiction, French literature, Fiction, Manners and customs in fiction, Adultery, Middle class, Physicians' spouses, Suicide victims, Married women, Social life and customs, French fiction, Technique, Suicide, Husband and wife, History, Physicians, Intellectual life, Classic Literature, Spouses, Country life, Women, Manners and customs, Continental european fiction (fictional works by one author), France, fiction, Physicians, fiction, Married people, fiction, Fiction, family life, Fiction, general, Trials, litigation, Literary, Young men, Unrequited love, Romance literature, Trials (Obscenity), Criticism and interpretation, Criticism, Wives, Médecins, Romans, nouvelles, Conjoints, Suicidés, Married people, Couples mariés, Vie intellectuelle, Mœurs et coutumes, Man-woman relationships, Triangles (Interpersonal relations), Relations entre hommes et femmes, Triangle (Relations humaines), Roman français, Chang pian xiao shuo, Bovary, charles (fictitious character), fiction, Bovary, emma (fictitious character), fiction, Emma Bovary (Fictitious character), General, Commerce, Qing Dynasty (China), Charles Bovary (Fictitious character), Illustraties, Frans, FICTION / General, Bovary, emma (fictitious character), Bovary, emma (fictitious character)--fiction, Married women--france--fiction, Pq2246.m2 e5 2003, 843.8, French Novelists, Correspondence"
Gustave Flaubert,L'Éducation sentimentale,1898,"Fiction, Young men, History, Married women, Unrequited love, February Revolution (France : 1848), June Days (Paris : 1848), Married women in fiction, France in fiction, Young men in fiction, Unrequited love in fiction, French language, Classic Literature, Romance literature, Facsimiles, French Manuscripts, Manuscripts, Notebooks, sketchbooks, Textual Criticism, Continental european fiction (fictional works by one author), France, fiction, Married people, fiction, Paris (france), fiction, Fiction, general, Wives, Social life and customs, Manners and customs, Romance fiction, French fiction, Romance Frances, Fiction, romance, general, Jeunes hommes, Romans, nouvelles, Femmes mariées, Amour malheureux, Histoire, Jóvenes (Varones), Novela, Mujeres casadas, Translations into English, Fiction in English, Translations from French, Instrumental music, Social conditions, Antiques"
Gustave Flaubert,Salammbô,1863,"Fiction, History, Continental european fiction (fictional works by one author), Rome, fiction, Historia, Ficción, Cartago (Ciudad desaparecida), Classic Literature, Non-English Fiction, Carthage (Extinct city), Comics & graphic novels, science fiction, Histoire, Fiction, historical, general, Large type books, Illustraties, Frans"
Gustave Flaubert,Trois contes,1877,"Classic Literature, Fiction, French language, Programmed instruction, Translations into English, French language materials, French literature, translations into english, Continental european fiction (fictional works by one author), Manners and customs, Flaubert, gustave, 1821-1880, Fiction, religious, Fiction, general"
Gustave Flaubert,Bouvard et Pécuchet,1896,"Classic Literature, Fiction, Correspondence, French fiction, Continental european fiction (fictional works by one author), Romance literature, Criticism and interpretation, Translations into English, Translations from French, French wit and humor"
Émile Zola,Germinal,1885,"Fiction, Strikes and lockouts, Coal miners, Labor disputes, Coal mines and mining, Industrial relations, Miners, Literary collections, Work, Coal mining, Mineral industries, Social conditions, Working class, Literature, Classic Literature, Mineurs, France, Mines, Grèves et lock-out, Translations into Yiddish, French literature, Continental european fiction (fictional works by one author), France, fiction, Fiction, political, Romance literature, Coal mines and mining--fiction, Strikes and lockouts--fiction, Labor disputes--fiction, Coal miners--fiction, Pq2504 .a33 2008, 843.8, Translations into English"
Émile Zola,Nana,1880,"French fiction, Classic Literature, Fiction, Prostitution in fiction, Hamburg., Prostitue, call-girl, Young women in fiction, decadent France. Cover: Detail from Nana by Edouard Manet (1877) in the Kunsthalle, Young women, Social conditions, Prostitutes, Social life and customs, French literature, Romans, Moeurs et coutumes, Litterature française, Roman français, Manners and customs, Continental european fiction (fictional works by one author), Fiction, general, France, fiction, African Americans, Education, Translations into English, Illustraties, Frans"
